note_t-2,note_t-1,label
DS4,C4,D4
C4,D4,AS3
D4,AS3,D4
AS3,D4,D4
D4,D4,D4
D4,D4,F4
D4,F4,DS4
F4,DS4,C4
DS4,C4,AS3
C4,AS3,F4
AS3,F4,DS4
F4,DS4,DS4
DS4,DS4,F4
DS4,F4,F4
F4,F4,F4
F4,F4,0
F4,0,CS4
0,CS4,GS3
CS4,GS3,CS4
GS3,CS4,GS3
CS4,GS3,CS4
GS3,CS4,DS4
CS4,DS4,F4
DS4,F4,CS4
F4,CS4,FS4
CS4,FS4,FS4
FS4,FS4,CS4
FS4,CS4,DS4
CS4,DS4,F4
DS4,F4,CS4
F4,CS4,GS3
CS4,GS3,CS4
GS3,CS4,GS3
CS4,GS3,CS4
GS3,CS4,DS4
CS4,DS4,F4
DS4,F4,CS4
F4,CS4,F4
CS4,F4,F4
F4,F4,F4
F4,F4,DS4
F4,DS4,DS4
DS4,DS4,F4
DS4,F4,DS4
F4,DS4,AS3
DS4,AS3,C4
AS3,C4,CS4
C4,CS4,C4
CS4,C4,CS4
C4,CS4,AS3
CS4,AS3,GS3
AS3,GS3,CS4
GS3,CS4,FS4
CS4,FS4,FS4
FS4,FS4,CS4
FS4,CS4,CS4
CS4,CS4,DS4
CS4,DS4,DS4
DS4,DS4,F4
DS4,F4,AS3
F4,AS3,C4
AS3,C4,CS4
C4,CS4,C4
CS4,C4,CS4
C4,CS4,AS3
CS4,AS3,GS3
AS3,GS3,CS4
GS3,CS4,F4
CS4,F4,FS4
F4,FS4,F4
FS4,F4,DS4
F4,DS4,CS4
DS4,CS4,GS3
CS4,GS3,GS3
GS3,GS3,GS3
GS3,GS3,GS3
GS3,GS3,CS4
GS3,CS4,AS3
CS4,AS3,AS3
AS3,AS3,AS3
AS3,AS3,AS3
AS3,AS3,DS4
AS3,DS4,C4
DS4,C4,C4
C4,C4,C4
C4,C4,C4
C4,C4,AS3
C4,AS3,C4
AS3,C4,CS4
C4,CS4,GS3
CS4,GS3,GS3
GS3,GS3,GS3
GS3,GS3,GS3
GS3,GS3,CS4
GS3,CS4,AS3
CS4,AS3,AS3
AS3,AS3,AS3
AS3,AS3,AS3
AS3,AS3,DS4
AS3,DS4,C4
DS4,C4,C4
C4,C4,C4
C4,C4,C4
C4,C4,AS3
C4,AS3,C4
AS3,C4,CS4
C4,CS4,GS3
CS4,GS3,GS3
GS3,GS3,F4
GS3,F4,CS4
F4,CS4,GS3
CS4,GS3,GS3
GS3,GS3,GS3
GS3,GS3,CS4
GS3,CS4,F4
CS4,F4,F4
F4,F4,CS4
F4,CS4,CS4
CS4,CS4,CS4
CS4,CS4,DS4
CS4,DS4,C4
DS4,C4,AS3
C4,AS3,GS3
AS3,GS3,F4
GS3,F4,CS4
F4,CS4,FS4
CS4,FS4,FS4
FS4,FS4,FS4
FS4,FS4,AS4
FS4,AS4,GS4
AS4,GS4,GS4
GS4,GS4,GS4
GS4,GS4,GS4
GS4,GS4,FS4
GS4,FS4,DS4
FS4,DS4,CS4
DS4,CS4,GS3
CS4,GS3,GS3
GS3,GS3,F4
GS3,F4,CS4
F4,CS4,GS3
CS4,GS3,GS3
GS3,GS3,GS3
GS3,GS3,CS4
GS3,CS4,F4
CS4,F4,F4
F4,F4,CS4
F4,CS4,CS4
CS4,CS4,CS4
CS4,CS4,DS4
CS4,DS4,C4
DS4,C4,AS3
C4,AS3,GS3
AS3,GS3,F4
GS3,F4,CS4
F4,CS4,FS4
CS4,FS4,FS4
FS4,FS4,FS4
FS4,FS4,AS4
FS4,AS4,GS4
AS4,GS4,GS4
GS4,GS4,GS4
GS4,GS4,GS4
GS4,GS4,FS4
GS4,FS4,DS4
FS4,DS4,CS4
DS4,CS4,0
CS4,0,E4
0,E4,G4
E4,G4,E4
G4,E4,A4
E4,A4,G4
A4,G4,E4
G4,E4,E4
E4,E4,G4
E4,G4,G4
G4,G4,E4
G4,E4,A4
E4,A4,G4
A4,G4,E4
G4,E4,E4
E4,E4,F4
E4,F4,F4
F4,F4,D4
F4,D4,D4
D4,D4,F4
D4,F4,F4
F4,F4,D4
F4,D4,D4
D4,D4,G4
D4,G4,F4
G4,F4,E4
F4,E4,D4
E4,D4,E4
D4,E4,C4
E4,C4,E4
C4,E4,G4
E4,G4,E4
G4,E4,A4
E4,A4,G4
A4,G4,E4
G4,E4,E4
E4,E4,G4
E4,G4,G4
G4,G4,E4
G4,E4,A4
E4,A4,G4
A4,G4,E4
G4,E4,E4
E4,E4,F4
E4,F4,F4
F4,F4,D4
F4,D4,D4
D4,D4,F4
D4,F4,F4
F4,F4,D4
F4,D4,D4
D4,D4,G4
D4,G4,F4
G4,F4,E4
F4,E4,D4
E4,D4,E4
D4,E4,C4
E4,C4,E4
C4,E4,G4
E4,G4,E4
G4,E4,A4
E4,A4,G4
A4,G4,E4
G4,E4,E4
E4,E4,G4
E4,G4,G4
G4,G4,E4
G4,E4,A4
E4,A4,G4
A4,G4,E4
G4,E4,E4
E4,E4,F4
E4,F4,F4
F4,F4,D4
F4,D4,D4
D4,D4,F4
D4,F4,F4
F4,F4,D4
F4,D4,D4
D4,D4,G4
D4,G4,F4
G4,F4,E4
F4,E4,D4
E4,D4,E4
D4,E4,E4
E4,E4,G4
E4,G4,E4
G4,E4,A4
E4,A4,G4
A4,G4,E4
G4,E4,E4
E4,E4,G4
E4,G4,G4
G4,G4,E4
G4,E4,A4
E4,A4,G4
A4,G4,E4
G4,E4,E4
E4,E4,F4
E4,F4,F4
F4,F4,D4
F4,D4,D4
D4,D4,F4
D4,F4,F4
F4,F4,D4
F4,D4,D4
D4,D4,G4
D4,G4,F4
G4,F4,E4
F4,E4,D4
E4,D4,E4
D4,E4,C4
E4,C4,0
C4,0,GS4
0,GS4,GS4
GS4,GS4,DS4
GS4,DS4,GS4
DS4,GS4,AS4
GS4,AS4,DS4
AS4,DS4,C5
DS4,C5,AS4
C5,AS4,C5
AS4,C5,CS5
C5,CS5,C5
CS5,C5,AS4
C5,AS4,GS4
AS4,GS4,GS4
GS4,GS4,G4
GS4,G4,F4
G4,F4,G4
F4,G4,GS4
G4,GS4,AS4
GS4,AS4,C5
AS4,C5,G4
C5,G4,F4
G4,F4,DS4
F4,DS4,DS4
DS4,DS4,DS5
DS4,DS5,CS5
DS5,CS5,C5
CS5,C5,CS5
C5,CS5,C5
CS5,C5,AS4
C5,AS4,C5
AS4,C5,GS4
C5,GS4,AS4
GS4,AS4,G4
AS4,G4,F4
G4,F4,DS4
F4,DS4,GS4
DS4,GS4,GS4
GS4,GS4,G4
GS4,G4,GS4
G4,GS4,AS4
GS4,AS4,GS4
AS4,GS4,DS4
GS4,DS4,C5
DS4,C5,C5
C5,C5,AS4
C5,AS4,C5
AS4,C5,CS5
C5,CS5,C5
CS5,C5,AS4
C5,AS4,C5
AS4,C5,CS5
C5,CS5,C5
CS5,C5,AS4
C5,AS4,GS4
AS4,GS4,G4
GS4,G4,GS4
G4,GS4,CS5
GS4,CS5,C5
CS5,C5,AS4
C5,AS4,GS4
AS4,GS4,GS4
GS4,GS4,GS4
GS4,GS4,GS4
GS4,GS4,DS4
GS4,DS4,GS4
DS4,GS4,AS4
GS4,AS4,DS4
AS4,DS4,C5
DS4,C5,AS4
C5,AS4,C5
AS4,C5,CS5
C5,CS5,C5
CS5,C5,AS4
C5,AS4,GS4
AS4,GS4,G4
GS4,G4,F4
G4,F4,G4
F4,G4,GS4
G4,GS4,AS4
GS4,AS4,C5
AS4,C5,G4
C5,G4,F4
G4,F4,DS4
F4,DS4,DS4
DS4,DS4,DS5
DS4,DS5,CS5
DS5,CS5,C5
CS5,C5,CS5
C5,CS5,C5
CS5,C5,AS4
C5,AS4,C5
AS4,C5,GS4
C5,GS4,AS4
GS4,AS4,G4
AS4,G4,F4
G4,F4,DS4
F4,DS4,GS4
DS4,GS4,GS4
GS4,GS4,G4
GS4,G4,GS4
G4,GS4,AS4
GS4,AS4,GS4
AS4,GS4,DS4
GS4,DS4,C5
DS4,C5,C5
C5,C5,AS4
C5,AS4,C5
AS4,C5,CS5
C5,CS5,C5
CS5,C5,AS4
C5,AS4,C5
AS4,C5,CS5
C5,CS5,C5
CS5,C5,AS4
C5,AS4,GS4
AS4,GS4,G4
GS4,G4,GS4
G4,GS4,CS5
GS4,CS5,C5
CS5,C5,AS4
C5,AS4,GS4
AS4,GS4,GS4
GS4,GS4,GS4
GS4,GS4,GS4
GS4,GS4,DS4
GS4,DS4,GS4
DS4,GS4,AS4
GS4,AS4,DS4
AS4,DS4,C5
DS4,C5,AS4
C5,AS4,C5
AS4,C5,CS5
C5,CS5,C5
CS5,C5,AS4
C5,AS4,GS4
AS4,GS4,GS4
GS4,GS4,G4
GS4,G4,F4
G4,F4,G4
F4,G4,GS4
G4,GS4,AS4
GS4,AS4,C5
AS4,C5,G4
C5,G4,F4
G4,F4,DS4
F4,DS4,DS4
DS4,DS4,DS5
DS4,DS5,CS5
DS5,CS5,C5
CS5,C5,CS5
C5,CS5,C5
CS5,C5,AS4
C5,AS4,C5
AS4,C5,GS4
C5,GS4,AS4
GS4,AS4,G4
AS4,G4,F4
G4,F4,DS4
F4,DS4,GS4
DS4,GS4,GS4
GS4,GS4,G4
GS4,G4,GS4
G4,GS4,AS4
GS4,AS4,GS4
AS4,GS4,DS4
GS4,DS4,C5
DS4,C5,C5
C5,C5,AS4
C5,AS4,C5
AS4,C5,CS5
C5,CS5,C5
CS5,C5,AS4
C5,AS4,C5
AS4,C5,CS5
C5,CS5,C5
CS5,C5,AS4
C5,AS4,GS4
AS4,GS4,G4
GS4,G4,GS4
G4,GS4,CS5
GS4,CS5,C5
CS5,C5,AS4
C5,AS4,GS4
AS4,GS4,GS4
GS4,GS4,0
GS4,0,C4
0,C4,C4
C4,C4,C4
C4,C4,F4
C4,F4,A4
F4,A4,C4
A4,C4,C4
C4,C4,C4
C4,C4,F4
C4,F4,A4
F4,A4,F4
A4,F4,F4
F4,F4,E4
F4,E4,E4
E4,E4,D4
E4,D4,D4
D4,D4,C4
D4,C4,C4
C4,C4,C4
C4,C4,C4
C4,C4,E4
C4,E4,G4
E4,G4,C4
G4,C4,C4
C4,C4,C4
C4,C4,E4
C4,E4,G4
E4,G4,C5
G4,C5,D5
C5,D5,C5
D5,C5,AS4
C5,AS4,A4
AS4,A4,G4
A4,G4,F4
G4,F4,C4
F4,C4,C4
C4,C4,C4
C4,C4,F4
C4,F4,A4
F4,A4,C4
A4,C4,C4
C4,C4,C4
C4,C4,F4
C4,F4,A4
F4,A4,F4
A4,F4,F4
F4,F4,E4
F4,E4,E4
E4,E4,D4
E4,D4,D4
D4,D4,C4
D4,C4,C4
C4,C4,C4
C4,C4,C4
C4,C4,E4
C4,E4,G4
E4,G4,C4
G4,C4,C4
C4,C4,C4
C4,C4,E4
C4,E4,G4
E4,G4,C5
G4,C5,D5
C5,D5,C5
D5,C5,AS4
C5,AS4,A4
AS4,A4,G4
A4,G4,F4
G4,F4,C4
F4,C4,C4
C4,C4,F4
C4,F4,F4
F4,F4,A4
F4,A4,A4
A4,A4,C5
A4,C5,A4
C5,A4,C5
A4,C5,D5
C5,D5,C5
D5,C5,AS4
C5,AS4,A4
AS4,A4,C5
A4,C5,AS4
C5,AS4,G4
AS4,G4,C4
G4,C4,C4
C4,C4,E4
C4,E4,E4
E4,E4,G4
E4,G4,G4
G4,G4,AS4
G4,AS4,G4
AS4,G4,C5
G4,C5,D5
C5,D5,C5
D5,C5,AS4
C5,AS4,A4
AS4,A4,G4
A4,G4,A4
G4,A4,F4
A4,F4,C4
F4,C4,C4
C4,C4,F4
C4,F4,F4
F4,F4,A4
F4,A4,A4
A4,A4,C5
A4,C5,A4
C5,A4,C5
A4,C5,D5
C5,D5,C5
D5,C5,AS4
C5,AS4,A4
AS4,A4,C5
A4,C5,AS4
C5,AS4,G4
AS4,G4,C4
G4,C4,C4
C4,C4,E4
C4,E4,E4
E4,E4,G4
E4,G4,G4
G4,G4,AS4
G4,AS4,G4
AS4,G4,C5
G4,C5,D5
C5,D5,C5
D5,C5,AS4
C5,AS4,A4
AS4,A4,G4
A4,G4,A4
G4,A4,F4
A4,F4,C4
F4,C4,C4
C4,C4,C4
C4,C4,F4
C4,F4,A4
F4,A4,C4
A4,C4,C4
C4,C4,C4
C4,C4,F4
C4,F4,A4
F4,A4,F4
A4,F4,F4
F4,F4,E4
F4,E4,E4
E4,E4,D4
E4,D4,D4
D4,D4,C4
D4,C4,C4
C4,C4,C4
C4,C4,C4
C4,C4,E4
C4,E4,G4
E4,G4,C4
G4,C4,C4
C4,C4,C4
C4,C4,E4
C4,E4,G4
E4,G4,C5
G4,C5,D5
C5,D5,C5
D5,C5,AS4
C5,AS4,A4
AS4,A4,G4
A4,G4,F4
G4,F4,C4
F4,C4,C4
C4,C4,C4
C4,C4,F4
C4,F4,A4
F4,A4,C4
A4,C4,C4
C4,C4,C4
C4,C4,F4
C4,F4,A4
F4,A4,F4
A4,F4,F4
F4,F4,E4
F4,E4,E4
E4,E4,D4
E4,D4,D4
D4,D4,C4
D4,C4,C4
C4,C4,C4
C4,C4,C4
C4,C4,E4
C4,E4,G4
E4,G4,C4
G4,C4,C4
C4,C4,C4
C4,C4,E4
C4,E4,G4
E4,G4,C5
G4,C5,D5
C5,D5,C5
D5,C5,AS4
C5,AS4,A4
AS4,A4,G4
A4,G4,F4
G4,F4,C4
F4,C4,C4
C4,C4,F4
C4,F4,F4
F4,F4,A4
F4,A4,A4
A4,A4,C5
A4,C5,A4
C5,A4,C5
A4,C5,D5
C5,D5,C5
D5,C5,AS4
C5,AS4,A4
